Time,Lat,Lon,Alt,McIlwainL,MLT,kp,sig0,sig1,sig2,sig3,sig4,sig5
2015-08-27 18:58:32.251250,59.965517904398816,-137.7685423263174,567.1450730698799,5.141188261434682,8.721362788046369,40.0,11.969346767606973,6.958485593426465,3.6167777207178604,-1.446377798051353,-0.3035592331216895,1.2243463859828336
2015-08-27 18:58:36.338750,59.72280972137249,-137.94507484295173,567.5716108168292,5.040849279316095,8.721940436542157,40.0,22.28939534049664,19.017647651955834,16.07948580321774,4.7178645996707385,0.9778779613221513,0.8727040448595599
2015-08-27 18:58:44.026250,59.26717981112682,-138.26993618984125,568.3699292194899,4.860522238474304,8.723143278510443,40.0,12.285537566213556,10.959752370175666,7.333333333333333,2.2963868639626988,0.39705555367361023,0.13595170040882468
2015-08-27 22:07:46.861500,66.25421391234147,-179.80963272688678,556.5637699361596,5.615348116170928,9.046051560306253,63.0,11.777055745114005,6.306563693002196,1.181757895737503,0.9406678954208428,1.1192437020524073,-0.31457751200698925
2015-08-27 22:07:46.917750,66.25075772978145,-179.81352818899904,556.5702282022093,5.61345426047133,9.046008534050785,63.0,10.86123193625243,5.824984085618873,0.6350617397730423,1.796721549610878,-0.8310602686498907,1.3954335789027985
2015-08-28 06:04:26.012750,69.4342296350281,64.99276822057436,552.5451335022549,6.349252672069101,11.197127907057478,30.0,10.610148464980593,2.288225707414102,0.5258855390297189,-0.3075738564131336,-0.15700328159671162,-0.1888707754294474
2015-08-28 06:04:26.050250,69.43255087819499,64.99024486208509,552.5484060379154,6.348525535557843,11.196951431130195,30.0,11.352202323846024,1.2531790949591959,-0.11528044771027822,-0.30052511547677035,-0.15700328159671162,-0.180994134817978
2015-08-28 06:04:29.481500,69.24008473732802,64.70374987763353,552.923027999345,6.262789587646808,11.177664266664756,30.0,11.188827966421487,1.905131299983991,1.3053498398442507,-0.4523184196078317,-0.1888707754294474,1.5869126644826352
2015-08-28 06:04:39.362750,68.68399411430981,63.90595635934733,553.9992776739953,6.0247081826403175,11.123657453975731,30.0,19.54219972112982,14.328328672430647,4.3035110654170525,0.31622776601683794,-0.3822762334821925,-0.13244807213962692
2015-08-28 06:04:40.964000,68.59425148472874,63.78118991792144,554.1721368385342,5.987765379433054,11.114956512327298,30.0,13.502377311817993,5.225181298059197,0.646757217719491,0.9332351523715418,-0.40181104226391806,-0.15700328159671162
2015-08-28 06:04:44.162750,68.41283264120838,63.53219308629923,554.5208999040207,5.9123058366992645,11.098057962563749,30.0,21.04628314130722,13.576408042332853,4.647290322292217,0.4177206794470869,-0.2498612267447886,-0.1888707754294474
2015-08-28 06:04:44.369000,68.40180170575222,63.51719004705956,554.542076981114,5.90786059431651,11.09697035656722,30.0,13.734321703112656,7.249694987483371,0.2803860770460221,-0.22774513991193004,0.6873792824764355,-0.2273971467171103
2015-08-28 06:04:44.406500,68.3992558977821,63.513729728598264,554.5469639286165,5.906833227606377,11.096719453298018,30.0,10.07818478450573,1.3834216672055992,0.6676578952572035,-0.8889517901854962,-0.2044497731087957,0.6653472070611746
2015-08-28 06:04:50.087750,68.07715588692537,63.08246128282917,555.1638698997136,5.77477656810328,11.06692302648278,30.0,19.80305443304708,9.167630803291248,3.7110755071212487,1.2885725773939705,-0.27910136890382536,-0.10729693339314984
2015-08-28 06:04:51.269000,68.0107493705444,62.99512371174933,555.2907159219227,5.749085416491144,11.060789807622696,30.0,23.293707003774507,14.89327414454909,8.770876548922061,1.0771729590429122,0.6013987586844497,-0.14888242467378376
2015-08-28 06:04:51.794000,67.98093877988012,62.95608780378825,555.3476212879858,5.737581201447346,11.057921940780863,30.0,12.84295178933507,9.313250442401156,1.2714998606186805,0.36281769906606626,0.6544692871891228,-0.1406977442705054
2015-08-28 06:04:58.281500,67.61150928061716,62.48087378276978,556.0509485686104,5.592457267653449,11.024705754410054,30.0,19.441802467252522,15.139616341022322,3.36670144798957,-0.9105804959599352,-0.35568955122927054,-0.16506145224996632
2015-08-28 06:05:11.837750,66.83668397061972,61.532282193773426,557.5152544280306,5.3062328354416755,10.956929762277449,30.0,21.265961583545916,20.052944421892917,12.423811209678233,1.9406522463893496,-0.5808740766245469,0.6653472070611746
2015-08-28 06:05:45.287750,64.90711678938678,59.417765093181515,561.1027781572327,4.675778160678447,10.80123199638437,30.0,10.379471041832396,6.554396583605337,5.714859565907393,4.477095881202582,1.6239133766811573,-0.09669976036109974
2015-08-28 06:06:20.856500,62.8322123823522,57.46243318094639,564.8760826996531,4.116021435859609,10.65067576233489,30.0,10.209990823292545,8.127604042608745,5.38627973507516,2.8206157516557266,0.7552444741486501,-0.4250066941409892
